0.5	0.5	0.5	0.5
-0.53844	0.25428	0.3784	0.46953
-0.18385	0.16941	0.1769	0.58863
-0.73999	0.083319	0.61968	0.52223
-0.48707	0.33091	0.67648	0.69215
-0.47146	0.18829	0.48815	0.54893
-0.3699	0.1676	0.6043	0.56313
-0.36256	0.47353	0.6842	0.24124
-0.41374	-0.21477	0.57142	0.30687
-0.70834	0.2366	0.24682	0.64788
-0.47987	0.19228	0.56283	0.7848
-0.76049	0.42664	0.51547	0.40538
-0.43275	0.040914	0.51942	0.52918
-0.55027	-0.12005	0.84169	0.54874
-0.67419	0.05037	0.53835	0.45715
-0.55375	0.090161	0.56453	0.47259
-0.13287	0.034327	0.46106	0.32633
-0.50716	0.051529	0.51856	0.1496
-0.50413	-0.55652	0.4795	0.69264
-0.69159	-0.04024	0.75291	0.59629
-0.43834	-0.058725	0.59887	0.902
-0.49392	-0.16277	0.50999	0.40367
-0.56811	0.10727	0.65801	0.42934
-0.27359	0.0034872	0.36452	0.65346
-0.51206	0.14551	0.68849	0.4665
-0.70238	0.032908	0.5093	0.4857
-0.53581	-0.037844	0.65126	0.024086
-0.46725	-0.092957	0.35099	0.51024
-0.63011	0.14629	0.80625	0.54857
-0.72745	-0.10444	0.52841	0.45052
-0.32447	0.16397	0.5231	0.47106
-0.41358	0.27361	0.47909	0.64746
-0.26638	-0.03635	0.42237	0.54756
-0.6658	0.095491	0.3	0.54437
-0.34901	0.15937	0.3867	0.76748
-0.40215	0.015448	0.59174	0.39086
-0.29098	0.090993	0.17749	0.48182
-0.42149	0.036016	0.62589	0.58376
-0.49868	0.46921	0.28739	0.49599
-0.39681	-0.18177	0.59514	0.65861
-0.38278	0.056765	0.23399	0.68449
-0.28291	0.13206	0.57061	0.68297
-0.58283	-0.18552	0.45081	0.37807
-0.51153	0.073878	0.53319	0.69107
-0.37826	0.2926	0.48862	0.68449
-0.37327	0.13431	0.39594	0.586
-0.31406	0.057164	0.37535	0.66921
-0.35176	-0.14813	0.6492	0.4416
-0.40693	-0.18161	0.48281	0.64032
-0.64989	-0.02604	0.64156	0.73206
-0.51163	0.031674	0.47432	0.45857
-0.42289	-0.11428	0.35865	0.56218
-0.54485	0.00025826	0.61654	0.5817
-0.42959	0.10084	0.21471	0.42547
-0.61377	0.1247	0.67467	0.54351
-0.58956	-0.047214	0.60387	0.81336
-0.5861	0.11055	0.41092	0.34671
-0.29218	-0.053356	0.25915	0.41871
-0.27826	-0.1416	0.41645	0.64751
-0.51706	0.40003	0.27966	0.60229
-0.59763	-0.084591	0.64215	0.074756
-0.6887	0.02551	0.35402	0.42074
-0.37339	0.1685	0.84244	0.42888
-0.58863	0.12116	0.86548	0.39982
-0.44553	0.15069	0.62981	0.64196
-0.43337	0.21985	0.50295	0.47898
